CountryID,Countries,ISO Code,Region,Human Freedom Score,Personal Freedom Score,Economic Index Score
74,India,IND,South Asia,-0.06250000000000012,-0.13513513513513506,-0.18384401114206114
75,Indonesia,IDN,South Asia,0.0,-0.13288288288288286,0.11142061281337048
76,Iran,IRN,Middle East & North Africa,-0.5690789473684212,-0.5608108108108107,-0.2980501392757659
77,Iraq,IRQ,Middle East & North Africa,-0.8190789473684211,-0.7882882882882882,
78,Ireland,IRL,Western Europe,0.5559210526315788,0.43468468468468485,0.5208913649025071
79,Israel,ISR,Middle East & North Africa,0.25657894736842113,0.16441441441441454,0.30640668523676884
80,Italy,ITA,Western Europe,0.3980263157894734,0.38288288288288297,0.011142061281337207
81,Jamaica,JAM,Latin America & the Caribbean,0.1217105263157895,0.05855855855855872,0.18941504178272972
82,Japan,JPN,East Asia,0.47697368421052605,0.3896396396396396,0.2869080779944289
83,Jordan,JOR,Middle East & North Africa,0.0032894736842104563,-0.16666666666666655,0.13091922005571038
84,Kazakhstan,KAZ,Caucasus & Central Asia,0.023026315789473777,-0.06306306306306293,0.10027855153203367
85,Kenya,KEN,Sub-Saharan Africa,0.006578947368420913,-0.07207207207207195,-0.18662952646239545
88,"Korea, South",KOR,East Asia,0.45065789473684187,0.4144144144144146,0.2924791086350975
89,Kuwait,KWT,Middle East & North Africa,-0.2105263157894736,-0.22522522522522526,-0.02785515320334262
90,Kyrgyz Republic,KGZ,Caucasus & Central Asia,0.04934210526315801,0.018018018018018035,0.01392757660167131
91,Lao P.D.R.,LAO,South Asia,-0.2072368421052631,-0.277027027027027,-0.12256267409470749
92,Latvia,LVA,Eastern Europe,0.48026315789473656,0.42342342342342343,0.23955431754874676
93,Lebanon,LBN,Middle East & North Africa,-0.02960526315789469,-0.1013513513513514,-0.2980501392757659
94,Lesotho,LSO,Sub-Saharan Africa,-0.09539473684210527,-0.09009009009008997,-0.24233983286908067
95,Liberia,LBR,Sub-Saharan Africa,-0.1578947368421054,-0.18918918918918917,-0.33704735376044553
96,Libya,LBY,Middle East & North Africa,-0.7203947368421054,-0.48198198198198194,
98,Lithuania,LTU,Eastern Europe,0.4901315789473685,0.4031531531531532,0.34540389972144864
99,Luxembourg,LUX,Western Europe,0.5690789473684212,0.5157657657657658,0.39275766016713115
102,Madagascar,MDG,Sub-Saharan Africa,-0.16776315789473678,-0.10360360360360361,-0.1448467966573815
103,Malawi,MWI,Sub-Saharan Africa,-0.07565789473684224,0.03603603603603607,-0.2896935933147632
104,Malaysia,MYS,South Asia,-0.10197368421052648,-0.28603603603603595,0.33983286908078003
106,Mali,MLI,Sub-Saharan Africa,-0.26315789473684204,-0.18468468468468457,-0.10306406685236758
107,Malta,MLT,Western Europe,0.5065789473684208,0.40540540540540543,0.18941504178272972
108,Mauritania,MRT,Sub-Saharan Africa,-0.4473684210526317,-0.48198198198198194,-0.16991643454038982
109,Mauritius,MUS,Sub-Saharan Africa,0.22697368421052616,0.0022522522522524045,0.31197771587743744
110,Mexico,MEX,Latin America & the Caribbean,-0.05921052631578938,-0.13288288288288286,0.08077994428969376
112,Moldova,MDA,Eastern Europe,0.03289473684210514,0.051801801801801904,-0.07520891364902495
113,Mongolia,MNG,East Asia,0.25657894736842113,0.18468468468468477,-0.17827298050139273
114,Montenegro,MNE,Eastern Europe,0.19736842105263147,0.2387387387387387,-0.03621169916434533
115,Morocco,MAR,Middle East & North Africa,-0.21381578947368432,-0.29054054054054057,0.03064066852367692
116,Mozambique,MOZ,Sub-Saharan Africa,-0.194078947368421,-0.018018018018018035,-0.36768802228412245
117,Namibia,NAM,Sub-Saharan Africa,-0.026315789473684233,0.0,-0.08635097493036197
118,Nepal,NPL,South Asia,-0.10526315789473693,-0.099099099099099,-0.22284122562674097
119,Netherlands,NLD,Western Europe,0.5493421052631579,0.5202702702702703,0.4178272980501393
120,New Zealand,NZL,Oceania,0.6743421052631581,0.5180180180180181,0.6295264623955434
121,Nicaragua,NIC,Latin America & the Caribbean,0.00986842105263166,-0.056306306306306314,-0.11420612813370458
122,Niger,NER,Sub-Saharan Africa,-0.3157894736842105,-0.23648648648648649,-0.2841225626740946
123,Nigeria,NGA,Sub-Saharan Africa,-0.14802631578947373,-0.2409909909909909,-0.12534818941504178
124,Norway,NOR,Western Europe,0.5296052631578946,0.5157657657657658,0.31197771587743744
125,Oman,OMN,Middle East & North Africa,-0.27960526315789463,-0.3986486486486486,-0.022284122562674015
126,Pakistan,PAK,South Asia,-0.3749999999999999,-0.3378378378378379,-0.18941504178272972
127,Panama,PAN,Latin America & the Caribbean,0.28289473684210537,0.16891891891891894,0.1504178272980503
128,Papua New Guinea,PNG,Oceania,-0.07565789473684224,-0.029279279279279258,-0.09470752089136486
